Year,AUS: 10.6%*,CAN: 11.7%,FRA: 12.4%,GER: 12.8%,JPN: 11.1%*,KOR: 8.8%,NETH: 11.2%,NZ: 9.7%*,NOR: 10.1%,SWE: 11.4%,SWIZ: 11.8%*,UK: 11.9%,US: 17.8%
2011,8.5,10.4,11.2,10.8,10.5,6.0,10.2,9.5,8.8,10.4,10.0,9.9,16.1
2012,8.7,10.5,11.3,10.9,10.7,6.1,10.5,9.7,8.8,10.7,10.2,9.9,16.1
2013,8.8,10.4,11.4,11.0,10.7,6.2,10.6,9.4,8.9,10.9,10.5,9.8,16.0
2014,9.8,10.3,11.5,11.0,10.7,6.5,10.6,9.4,9.3,10.9,10.6,9.8,16.2
2015,10.2,10.7,11.4,11.2,10.8,6.7,10.3,9.3,10.1,10.8,11.0,9.8,16.5
2016,10.1,11.0,11.5,11.2,10.7,6.9,10.3,9.2,10.6,10.9,11.3,9.7,16.8
2017,10.1,10.9,11.4,11.3,10.7,7.1,10.1,9.0,10.3,10.8,11.5,9.6,16.8
2018,10.1,10.8,11.2,11.5,10.7,7.5,10.0,9.0,10.0,10.9,11.2,9.7,16.6
2019,10.2,11.0,11.1,11.7,11.0,8.1,10.1,9.0,10.5,10.8,11.3,9.9,16.7
2020,10.6,12.9,12.2,12.8,11.1,8.4,11.1,9.7,11.4,11.5,11.8,12.0,18.8
2021, ,11.7,12.4,12.8, ,8.8,11.2, ,10.1,11.4, ,11.9,17.8
